name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,player_type
Marshall Warren,NYI,D,2500,6.580182447253416,4.0,2.5801824472534163,2.6320729789013666,1.645045611813354,21.45045611813354,skater
Michael Carcone,UTA,W,3100,6.518732067726841,6.05,0.4687320677268412,2.1028167960409165,1.6296830169317102,21.296830169317104,skater
Jonathan Drouin,NYI,W,3200,6.489408831439295,5.2,1.289408831439295,2.0279402598247795,1.6223522078598238,21.223522078598236,skater
Denver Barkey,PHI,C,2700,6.414464336044132,5.53,0.8844643360441315,2.375727531868197,1.603616084011033,21.03616084011033,skater
Yanni Gourde,TBL,C,2800,6.410804394500126,5.15,1.2608043945001253,2.289572998035759,1.6027010986250314,21.027010986250314,skater
Jean-Gabriel Pageau,NYI,C,3600,6.404078050139221,5.97,0.4340780501392212,1.7789105694831169,1.6010195125348052,21.01019512534805,skater
Max Shabanov,NYI,W,2700,6.388300903942108,4.73,1.6583009039421075,2.3660373718304104,1.597075225985527,20.97075225985527,skater
Matthew Robertson,NYR,D,2600,6.364081240666052,4.72,1.6440812406660523,2.4477235541023274,1.591020310166513,20.910203101665132,skater
Calum Ritchie,NYI,C,2900,6.3635516649599175,5.16,1.2035516649599174,2.1943281603310063,1.5908879162399794,20.908879162399792,skater
Nick Paul,TBL,W,2900,6.327590912261974,4.96,1.3675909122619743,2.181927900779991,1.5818977280654936,20.818977280654934,skater
Ian Moore,ANA,D,2500,6.160372942413373,5.54,0.6203729424133728,2.464149176965349,1.5400932356033432,20.400932356033433,skater
Alex Steeves,BOS,C,2800,6.056476396739557,5.68,0.376476396739557,2.163027284549842,1.5141190991848892,20.14119099184889,skater
Gabe Perreault,NYR,W,2800,6.03245256399225,4.78,1.2524525639922501,2.154447344282947,1.5081131409980626,20.081131409980628,skater
Nick Seeler,PHI,D,3200,6.029386489033947,6.31,-0.28061351096605236,1.8841832778231085,1.5073466222584868,20.07346622258487,skater
John Marino,UTA,D,2900,6.0238297859778065,5.36,0.6638297859778062,2.0771826848199333,1.5059574464944516,20.059574464944518,skater
Scott Morrow,NYR,D,2900,5.978305075861206,4.52,1.4583050758612064,2.0614845089176574,1.4945762689653015,19.945762689653016,skater
Marat Khusnutdinov,BOS,C,3000,5.89618551922255,5.46,0.43618551922255033,1.9653951730741834,1.4740463798056376,19.740463798056375,skater
Drew Helleson,ANA,D,2500,5.888585100767782,4.96,0.9285851007677817,2.3554340403071126,1.4721462751919454,19.721462751919454,skater
Ryan Poehling,ANA,C,3100,5.847557565899527,5.91,-0.06244243410047279,1.886308892225654,1.4618893914748818,19.618893914748817,skater
Nate Schmidt,UTA,D,2700,5.832792426952678,5.39,0.4427924269526784,2.1602934914639547,1.4581981067381695,19.581981067381697,skater
Matt Savoie,EDM,C,2800,5.7764145657387465,4.89,0.8864145657387468,2.0630052020495526,1.4441036414346866,19.44103641434687,skater
Barrett Hayton,UTA,C,3200,5.7146516179560365,5.59,0.12465161795603663,1.7858286306112614,1.4286629044890091,19.28662904489009,skater
Zemgus Girgensons,TBL,C,2500,5.536110476282795,4.56,0.9761104762827957,2.214444190513118,1.3840276190706988,18.840276190706987,skater
Andrew Peeke,BOS,D,2600,5.529775610324828,6.02,-0.4902243896751717,2.1268367732018567,1.382443902581207,18.82443902581207,skater
Emil Andrae,PHI,D,2500,5.529736030030398,4.03,1.4997360300303981,2.2118944120121595,1.3824340075075996,18.824340075075995,skater
Henri Jokiharju,BOS,D,2500,5.506119956595536,3.92,1.5861199565955362,2.2024479826382146,1.376529989148884,18.76529989148884,skater
Max Jones,EDM,W,2500,5.453371068677392,4.26,1.1933710686773926,2.181348427470957,1.363342767169348,18.633427671693482,skater
Will Borgen,NYR,D,2500,5.40934389320474,4.46,0.9493438932047402,2.163737557281896,1.352335973301185,18.52335973301185,skater
Scott Mayfield,NYI,D,2700,5.3822861495219225,4.09,1.2922861495219227,1.993439314637749,1.3455715373804806,18.455715373804807,skater
David Tomasek,EDM,W,2500,5.356354768668952,4.01,1.3463547686689523,2.1425419074675807,1.339088692167238,18.39088692167238,skater
Tanner Jeannot,BOS,W,2500,5.274597691544071,5.28,-0.005402308455929372,2.1098390766176283,1.3186494228860177,18.186494228860177,skater
Dominic James,TBL,C,2700,5.234552892427418,4.21,1.024552892427418,1.938723293491636,1.3086382231068545,18.086382231068544,skater
Mark Kastelic,BOS,C,2500,5.219458504928146,5.4,-0.18054149507185446,2.0877834019712584,1.3048646262320365,18.048646262320364,skater
Noah Laba,NYR,C,2700,5.125308041347571,4.45,0.6753080413475709,1.8982622375361373,1.2813270103368928,17.81327010336893,skater
Ryan Strome,ANA,C,2600,5.1173032119233675,3.67,1.4473032119233675,1.9681935430474489,1.2793258029808419,17.79325802980842,skater
