name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,predicted_ownership,ownership_tier,leverage_score,dk_id
Sean Couturier,PHI,C,3400,6.808215237482844,6.28,0.5282152374828435,2.0024162463184836,1.702053809370711,22.02053809370711,0.6824039061560482,Contrarian (<5%),4.046718634313109,41766569
Michael Eyssimont,BOS,C,2500,6.8032101605123385,5.67,1.1332101605123386,2.7212840642049354,1.7008025401280846,22.008025401280847,0.2662258447855581,Contrarian (<5%),5.372825225869954,41767221
Alex Killorn,ANA,W,3700,6.7984238220899025,5.51,1.2884238220899027,1.8374118438080818,1.6996059555224756,21.996059555224758,0.7653993037584796,Contrarian (<5%),3.8509269872352796,41767005
Erik Haula,NSH,W,2900,6.794263758722182,6.43,0.3642637587221822,2.3428495719731663,1.6985659396805455,21.985659396805456,1.177146738119183,Contrarian (<5%),3.120719260563798,41766609
Cam Fowler,STL,D,2900,6.792229019505383,5.04,1.752229019505383,2.342147937760477,1.6980572548763457,21.98057254876346,0.7969754465566875,Contrarian (<5%),3.7798118124098226,41767707
Jordan Staal,CAR,C,3000,6.789529857756775,5.84,0.949529857756775,2.2631766192522584,1.6973824644391937,21.973824644391936,1.5354087888511085,Contrarian (<5%),2.677883695762281,41766599
Tom Willander,VAN,D,2700,6.774655383874116,4.79,1.9846553838741157,2.5091316236570798,1.693663845968529,21.93663845968529,1.1954631698350315,Contrarian (<5%),3.085752235316782,41767747
Jalen Chatfield,CAR,D,2700,6.769274969303118,4.8,1.9692749693031182,2.5071388775196732,1.6923187423257795,21.923187423257794,1.039533191160897,Contrarian (<5%),3.3190315306661247,41767753
Lawson Crouse,UTA,W,3600,6.747529721051742,6.92,-0.17247027894825795,1.8743138114032616,1.6868824302629355,21.868824302629356,0.7653993037584796,Contrarian (<5%),3.8220983245470093,41767019
Joel Edmundson,LAK,D,2500,6.726961539298515,5.53,1.1969615392985151,2.690784615719406,1.6817403848246288,21.81740384824629,1.039533191160897,Contrarian (<5%),3.298284905807072,41767921
Ryan Shea,PIT,D,2900,6.709748819690664,5.4,1.3097488196906637,2.313706489548505,1.677437204922666,21.77437204922666,0.693022127440598,Contrarian (<5%),3.963178455224345,41767723
Brayden Schenn,STL,C,3500,6.6925074166460705,5.69,1.0025074166460701,1.9121449761845917,1.6731268541615176,21.731268541615176,2.942866845297958,Contrarian (<5%),1.6973708926100763,41766563
Connor Zary,CGY,C,3300,6.646855866514716,5.24,1.4068558665147162,2.014198747428702,1.661713966628679,21.61713966628679,0.2041064810022612,Contrarian (<5%),5.520156208263307,41767051
Joel Armia,LAK,W,2700,6.635955780170047,5.76,0.875955780170047,2.45776140006298,1.6589889450425117,21.58988945042512,1.0236058592340722,Contrarian (<5%),3.2792728632846186,41766627
Logan Stanley,WPG,D,2500,6.635140990566619,5.66,0.9751409905666186,2.6540563962266477,1.6587852476416547,21.587852476416547,1.1954631698350315,Contrarian (<5%),3.022205556317844,41767911
Michael Carcone,UTA,W,3100,6.632922380951245,6.06,0.5729223809512458,2.1396523809520147,1.6582305952378114,21.582305952378114,0.2041064810022612,Contrarian (<5%),5.5085845692236495,41767085
Esa Lindell,DAL,D,3400,6.623574124030622,7.75,-1.1264258759693782,1.9481100364795947,1.6558935310076555,21.558935310076556,0.7969754465566875,Contrarian (<5%),3.685956943219521,41767641
Fraser Minten,BOS,C,3000,6.613730534518835,6.19,0.42373053451883447,2.2045768448396115,1.6534326336297087,21.534326336297088,0.9809556150993192,Contrarian (<5%),3.338656597910318,41766595
Philip Broberg,STL,D,3500,6.5939304120373485,5.99,0.6039304120373483,1.8839801177249567,1.6484826030093371,21.484826030093373,2.390926339670063,Contrarian (<5%),1.944580846506662,41767619
Casey Mittelstadt,BOS,C,3000,6.590877119648345,5.7,0.8908771196483452,2.1969590398827816,1.6477192799120863,21.477192799120864,0.2041064810022612,Contrarian (<5%),5.473666343995011,41767091
Andrei Kuzmenko,LAK,W,3400,6.565802982476403,5.51,1.0558029824764033,1.9311185242577658,1.6414507456191008,21.414507456191007,0.2662258447855581,Contrarian (<5%),5.185333255923516,41767041
Adam Pelech,NYI,D,3300,6.559474218026123,6.54,0.019474218026123147,1.9877194600079162,1.6398685545065308,21.39868554506531,0.693022127440598,Contrarian (<5%),3.8744172989294086,41767649
Cole Perfetti,WPG,C,3200,6.553488672483206,5.61,0.9434886724832054,2.0479652101510015,1.6383721681208014,21.383721681208016,0.2041064810022612,Contrarian (<5%),5.442615562560782,41767067
Martin Fehervary,WSH,D,3100,6.510141993876644,7.26,-0.7498580061233557,2.100045804476337,1.627535498469161,21.27535498469161,0.693022127440598,Contrarian (<5%),3.845278740519628,41767671
Axel Sandin-Pellikka,DET,D,2500,6.493729315472363,5.01,1.4837293154723632,2.597491726188945,1.6234323288680907,21.23432328868091,1.1954631698350315,Contrarian (<5%),2.9577946943925757,41768021
Matvei Gridin,CGY,W,2900,6.491979459816346,5.59,0.9019794598163458,2.2386136068332227,1.6229948649540864,21.229948649540866,0.2662258447855581,Contrarian (<5%),5.127031237398093,41767113
Morgan Barron,WPG,C,2500,6.491737782135418,5.74,0.7517377821354181,2.5966951128541673,1.6229344455338546,21.229344455338545,1.0236058592340722,Contrarian (<5%),3.2080050334468386,41766715
Parker Wotherspoon,PIT,D,2600,6.470876462140837,6.11,0.3608764621408369,2.4887986392849375,1.6177191155352093,21.177191155352094,1.039533191160897,Contrarian (<5%),3.1727242734684946,41767777
Sam Rinzel,CHI,D,2500,6.470365468604171,5.31,1.1603654686041711,2.5881461874416685,1.6175913671510427,21.175913671510425,1.039533191160897,Contrarian (<5%),3.172473729109187,41767799
Radko Gudas,ANA,D,2800,6.457748027968862,6.25,0.20774802796886238,2.306338581417451,1.6144370069922156,21.144370069922157,0.693022127440598,Contrarian (<5%),3.8143317345363172,41767729
