game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts
2025-11-08,8475794,T. Seguin,C,-0.5,2.5965006,2.8931363
2025-11-08,8475810,B. Rust,R,11.3,12.699753,8.224581
2025-11-08,8475842,S. Carrick,C,1.0,2.6590016,2.8451488
2025-11-08,8475848,B. Gallagher,R,0.5,1.3644724,2.024269
2025-11-08,8475906,J. Klingberg,D,6.9,7.088625,5.4378247
2025-11-08,8476278,C. Blackwell,C,7.0,1.895954,2.369292
2025-11-08,8476292,O. Palat,L,9.2,5.8229504,5.1575356
2025-11-08,8476312,J. Manson,D,2.3,3.3175642,2.5127816
2025-11-08,8476372,N. Seeler,D,6.4,5.0690155,3.7178624
2025-11-08,8476374,S. Kuraly,C,4.3,3.9926624,3.9577708
2025-11-08,8476393,N. Cousins,C,-0.5,1.1833237,1.7062247
2025-11-08,8476419,J. Pageau,C,28.6,12.038956,8.826067
2025-11-08,8476422,M. Reilly,D,8.9,10.982252,7.402455
2025-11-08,8476429,S. Mayfield,D,10.5,4.933611,3.798513
2025-11-08,8476432,B. Jenner,C,5.8,4.5262966,3.1449015
2025-11-08,8476438,B. Saad,L,1.5,4.8967423,3.5282385
2025-11-08,8476448,W. Karlsson,C,5.5,6.710744,4.315095
2025-11-08,8476453,N. Kucherov,R,3.5,15.026778,10.874529
2025-11-08,8476454,R. Nugent-Hopkins,C,-2.0,4.331406,4.004346
2025-11-08,8476455,G. Landeskog,L,1.3,3.7106144,3.5702195
2025-11-08,8476457,A. Larsson,D,5.8,3.8934336,2.6586664
2025-11-08,8476459,M. Zibanejad,C,12.3,5.5266175,3.319862
2025-11-08,8476461,S. Couturier,C,-0.5,4.022761,3.5851147
2025-11-08,8476467,J. Oleksiak,D,0.0,2.4515116,2.5826762
2025-11-08,8476468,J. Miller,C,3.3,7.912471,5.2522616
2025-11-08,8476474,S. Noesen,R,3.0,1.2255002,1.0714049
2025-11-08,8476539,J. Marchessault,R,6.8,5.654307,4.5955873
2025-11-08,8476624,B. Goodrow,C,3.3,1.1596967,1.6636271
2025-11-08,8476822,L. Glendening,C,1.3,3.8690069,3.6094456
2025-11-08,8476826,Y. Gourde,C,2.8,4.3780403,3.942961
2025-11-08,8476853,M. Rielly,D,11.0,10.204607,6.5631313
2025-11-08,8476854,H. Lindholm,D,11.1,4.2415795,2.719635
2025-11-08,8476869,B. Skjei,D,0.3,3.3526146,2.644187
2025-11-08,8476872,S. Laughton,C,2.3,0.5530808,0.80618125
2025-11-08,8476874,O. Määttä,D,2.0,1.2872239,1.431928
2025-11-08,8476875,M. Matheson,D,8.6,10.749346,6.737949
2025-11-08,8476878,Z. Girgensons,C,0.8,2.8277314,2.578318
2025-11-08,8476880,T. Wilson,R,3.0,11.598201,8.366896
2025-11-08,8476881,T. Hertl,C,15.8,12.066319,8.575545
2025-11-08,8476885,J. Trouba,D,27.7,14.029091,8.619203
2025-11-08,8476887,F. Forsberg,L,14.8,12.964001,9.11431
2025-11-08,8476889,R. Faksa,C,0.5,2.312552,2.9097605
2025-11-08,8476892,C. Parayko,D,8.2,11.798466,7.3721924
2025-11-08,8476902,E. Lindell,D,3.5,5.1872134,3.8144658
2025-11-08,8476905,C. Stephenson,C,11.3,3.8911877,3.498682
2025-11-08,8476917,A. Pelech,D,3.6,4.5817513,3.5461595
2025-11-08,8476921,J. Martinook,L,1.0,7.952418,6.463171
2025-11-08,8476923,D. Severson,D,1.5,2.691062,1.9515183
2025-11-08,8476925,C. Sissons,C,2.5,1.0946801,1.5305724
2025-11-08,8476931,J. McCabe,D,6.1,10.441125,7.105254
2025-11-08,8476967,B. Kulak,D,0.8,0.9336643,1.1415431
2025-11-08,8476981,J. Anderson,R,0.8,1.9706415,2.4925308
2025-11-08,8477220,N. Schmidt,D,2.3,3.8926811,2.9315393
2025-11-08,8477365,C. Clifton,D,4.8,6.8167586,4.109933
2025-11-08,8477369,C. Soucy,D,2.6,3.8495262,3.2689085
2025-11-08,8477380,J. Brodzinski,C,1.5,3.9575155,4.0899954
2025-11-08,8477402,P. Buchnevich,L,5.0,2.043625,1.4538139
2025-11-08,8477404,J. Guentzel,C,16.3,13.204571,10.157265
2025-11-08,8477407,A. Duclair,L,13.6,6.1373034,5.605355
2025-11-08,8477409,C. Verhaeghe,C,2.5,7.2307835,5.1486044
2025-11-08,8477416,O. Bjorkstrand,R,7.9,6.4304123,4.612504
2025-11-08,8477425,M. Wood,L,-1.0,2.6432514,2.481914
2025-11-08,8477435,R. Graves,D,16.1,9.843189,5.545314
2025-11-08,8477446,M. McCarron,C,0.0,1.5549911,1.8931996
2025-11-08,8477447,S. Theodore,D,4.5,7.3747296,3.9234185
2025-11-08,8477454,A. Erne,L,12.0,4.678407,5.206423
2025-11-08,8477476,A. Lehkonen,L,17.0,7.1322613,4.118305
2025-11-08,8477478,W. Carrier,L,-1.0,1.846055,2.418374
2025-11-08,8477492,N. MacKinnon,C,44.0,16.279545,11.187847
2025-11-08,8477494,J. Drouin,L,25.3,7.7134137,6.4837794
2025-11-08,8477495,S. Jones,D,1.5,4.7350626,3.1422338
2025-11-08,8477497,S. Monahan,C,1.8,5.025275,4.828495
2025-11-08,8477498,D. Nurse,D,7.2,9.4636135,6.406802
2025-11-08,8477500,B. Horvat,C,28.0,15.571945,11.299648
2025-11-08,8477501,V. Nichushkin,R,2.8,4.6517863,2.954871
2025-11-08,8477503,M. Domi,C,9.5,4.9180856,3.7910044
2025-11-08,8477505,A. Wennberg,C,12.8,6.0233216,4.621132
2025-11-08,8477506,R. Pulock,D,4.8,7.7260323,5.0979238
2025-11-08,8477507,N. Zadorov,D,4.5,2.5926774,2.3715653
2025-11-08,8477511,A. Mantha,R,1.3,7.4540195,6.0494733
2025-11-08,8477527,R. Johnston,L,1.5,1.3904933,1.94313
2025-11-08,8477573,N. Walker,L,2.8,2.05847,1.2225201
2025-11-08,8477839,C. Sheary,L,1.5,4.654323,3.9517803
2025-11-08,8477845,T. van Riemsdyk,D,1.6,3.037248,2.7264955
2025-11-08,8477903,G. Hathaway,R,0.0,0.67692065,1.4764903
2025-11-08,8477932,A. Ekblad,D,3.1,4.8318233,3.1992075
2025-11-08,8477933,S. Reinhart,C,14.3,10.980641,7.6763573
2025-11-08,8477934,L. Draisaitl,C,5.0,8.473337,6.3574576
2025-11-08,8477935,S. Bennett,C,4.0,7.490155,6.395142
