playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478024,2025,Ville Husso,ANA,G,5on5,12,32635,22.65,29,512,16.76,30,66.53,41,260.55,238,10.65,0,138.17,129,101.14,123,21.85,266,63,25,8.11,7.44,7.1,11,11,7,158,2,1
8478024,2025,Ville Husso,ANA,G,4on5,12,3188,4.74,5,99,4.09,1,11.45,8,48.24,41,0.27,0,29.82,35,16.16,19,4.52,48,17,3,1.49,2.01,1.24,2,1,2,31,0,0
8478024,2025,Ville Husso,ANA,G,5on4,12,3383,0.74,0,11,0.28,0,1.33,1,7.71,9,1.55,0,2.16,2,5.25,7,0.59,7,2,1,0.26,0.21,0.28,0,0,0,1,0,0
8476434,2025,John Gibson,DET,G,other,37,3951,7.05,6,109,4.19,4,12.11,10,55.78,47,0.79,0,33.2,30,17.52,26,6.74,48,20,8,1.77,2.66,2.63,0,5,1,33,0,0
8476434,2025,John Gibson,DET,G,all,37,129311,102.1,94,2175,76.93,104,269.95,230,1120.87,978,37.52,4,608.4,540,435.45,561,97.93,1140,301,89,35.75,37.24,29.1,36,34,24,645,2,1
8476434,2025,John Gibson,DET,G,5on5,37,106117,73.19,68,1729,57.45,83,219.38,191,876.85,767,30.25,3,467.88,415,346.95,436,70.09,906,230,58,28.64,28.77,15.78,34,26,8,535,2,1
8476434,2025,John Gibson,DET,G,4on5,37,9237,19.36,17,291,13.6,16,33.99,26,161.02,129,0.63,0,97.47,88,52.42,75,18.67,162,38,22,4.63,4.33,10.41,1,1,15,69,0,0
8476434,2025,John Gibson,DET,G,5on4,37,10006,2.12,3,38,1.42,1,3.62,2,22.78,30,5.6,1,7.92,6,16.1,20,2.07,20,11,1,0.55,1.28,0.29,1,2,0,6,0,0
8482515,2025,Artur Akhtyamov,TOR,G,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482515,2025,Artur Akhtyamov,TOR,G,all,1,632,0.29,0,11,0.27,0,1.68,1,6.25,5,0.21,0,2.9,1,2.67,6,0.29,7,1,0,0.21,0.09,0,0,0,0,3,0,0
8482515,2025,Artur Akhtyamov,TOR,G,5on5,1,632,0.29,0,11,0.27,0,1.68,1,6.25,5,0.21,0,2.9,1,2.67,6,0.29,7,1,0,0.21,0.09,0,0,0,0,3,0,0
8482515,2025,Artur Akhtyamov,TOR,G,4on5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482515,2025,Artur Akhtyamov,TOR,G,5on4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475831,2025,Philipp Grubauer,SEA,G,other,22,2077,4.33,5,60,2.82,3,7.14,9,37.21,36,1.16,0,20.53,19,13.94,14,4.12,29,16,5,1.31,1.89,1.13,2,1,2,10,0,0
8475831,2025,Philipp Grubauer,SEA,G,all,22,74208,60.8,50,1306,48.16,82,163.68,113,672.48,598,20.56,1,369.34,361,261.99,320,57.61,712,146,70,20.78,18.4,21.62,18,13,19,378,0,0
8475831,2025,Philipp Grubauer,SEA,G,5on5,22,62077,45.03,31,1072,36.33,68,135.32,87,534.15,471,16.72,1,290.39,284,213.56,268,42.99,578,110,52,16.77,13.86,14.4,13,8,10,332,0,0
8475831,2025,Philipp Grubauer,SEA,G,4on5,22,5643,10.33,12,160,8.48,11,19.73,16,90.67,79,0.17,0,55.41,55,27.95,31,9.4,96,18,11,2.5,2.28,5.54,3,3,6,35,0,0
8475831,2025,Philipp Grubauer,SEA,G,5on4,22,4411,1.12,2,14,0.53,0,1.49,1,10.45,12,2.49,0,3.01,3,6.54,7,1.11,9,2,2,0.19,0.37,0.56,0,1,1,1,0,0
8476412,2025,Jordan Binnington,STL,G,other,32,1902,6.61,4,77,3.24,6,7.96,7,41.94,39,0.18,0,25.37,25,11.4,13,5.57,33,13,10,1.28,1.49,3.84,1,2,1,21,0,0
8476412,2025,Jordan Binnington,STL,G,all,32,106472,83.07,108,1597,58.16,99,206.5,143,857.91,794,26.89,1,454.85,410,330.64,399,78.83,852,214,97,25.09,27.25,30.72,42,35,31,434,4,2
