Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
81,5055045419,steel74,0,99.200005,C Brock Nelson C Christian Dvorak D Matthew Schaefer D Cam York G David Rittich UTIL Claude Giroux W Kirill Marchenko W Artturi Lehkonen W Emil Heineman,,Mathieu Olivier,UTIL,1.68%,17.8
82,5055037625,Kickman10,0,98.8,C Bo Horvat C Adam Fantilli D Matthew Schaefer D Vladislav Gavrikov G David Rittich UTIL Emil Heineman W Kirill Marchenko W Mason Marchment W Ondrej Palat,,Noah Laba,C,1.35%,6.3
83,5055098967,jedimoose28,0,98.59999,C Nathan MacKinnon C Mika Zibanejad D Cale Makar D Cam York G Spencer Martin UTIL Cole Sillinger W J.T. Miller W Mathieu Olivier W Ondrej Palat,,Will Borgen,D,1.18%,7.6
84,5055028482,tweyerich,0,98.2,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Will Borgen G Dan Vladar UTIL Noah Laba W Travis Konecny W Trevor Zegras W Victor Olofsson,,Jordan Spence,D,1.18%,7.6
84,5055091948,Ischia,0,98.2,C Vincent Trocheck C Christian Dvorak D Matthew Schaefer D Thomas Chabot G Dan Vladar UTIL Owen Tippett W Travis Konecny W Artturi Lehkonen W Trevor Zegras,,Carson Soucy,D,1.01%,4.3
86,5054945584,yaboyluke,0,98.1,C Vincent Trocheck C Christian Dvorak D Cale Makar D Sam Malinski G Spencer Martin UTIL Adam Fantilli W Travis Konecny W Trevor Zegras W Alexis Lafreniere,,Fabian Zetterlund,UTIL,1.01%,1.5
87,5054974739,wild172,0,97.9,C Brock Nelson C Mathew Barzal D Matthew Schaefer D Cam York G MacKenzie Blackwood UTIL Anthony Duclair W Trevor Zegras W Owen Tippett W Emil Heineman,,Nick Jensen,UTIL,1.01%,5
88,5054755619,thebobscotch,0,97.8,C Mathew Barzal C Christian Dvorak D Cale Makar D Tony DeAngelo G David Rittich UTIL Bobby Brink W Kirill Marchenko W Owen Tippett W Ridly Greig,,Artemi Panarin,W,1.01%,0
88,5055066108,MrBrownstone07,0,97.8,C Nathan MacKinnon C Brock Nelson D Travis Sanheim D Jamie Drysdale G Dan Vladar UTIL Nick Seeler W Martin Necas W Travis Konecny W Simon Holmstrom,,Carl Grundstrom,W,1.01%,1.3
88,5055090081,crackbabies,0,97.8,C Nathan MacKinnon C Brock Nelson D Travis Sanheim D Jamie Drysdale G Dan Vladar UTIL Nick Seeler W Martin Necas W Travis Konecny W Simon Holmstrom,,Scott Mayfield,D,0.84%,1.3
91,5054996996,ctaylor1790,0,97.700005,C Nathan MacKinnon C Sean Monahan D Travis Sanheim D Nick Seeler G MacKenzie Blackwood UTIL Travis Konecny W Martin Necas W J.T. Miller W Simon Holmstrom,,Ryan Pulock,D,0.84%,1.5
92,5054837654,bmull1981,0,97.4,C Mathew Barzal C Sean Monahan D Zach Werenski D Cale Makar G Elvis Merzlikins UTIL Cam York W Boone Jenner W Anthony Duclair W Jonathan Drouin,,Egor Zamula,D,0.84%,9.9
93,5055067039,esksdonk,0,97.3,C Bo Horvat C Charlie Coyle D Zach Werenski D Sam Malinski G David Rittich UTIL Brock Nelson W Valeri Nichushkin W Cole Sillinger W Ondrej Palat,,Gavin Brindley,W,0.67%,1.5
94,5054875915,JWMSKJJ,0,97.100006,C Brock Nelson C Mathew Barzal D Brent Burns D Ivan Provorov G Elvis Merzlikins UTIL Matthew Schaefer W Valeri Nichushkin W Anders Lee W Mason Marchment,,Max Shabanov,UTIL,0.67%,0
95,5054727790,garryld1949,0,96.7,C Brock Nelson C Charlie Coyle D Jake Sanderson D Jamie Drysdale G Ilya Sorokin UTIL Rasmus Ristolainen W Kirill Marchenko W J.T. Miller W Travis Konecny,,Miles Wood,W,0.51%,1.3
96,5055051789,kooltun,0,96.600006,C Dylan Cozens C Christian Dvorak D Jake Sanderson D Rasmus Ristolainen G David Rittich UTIL Trevor Zegras W Brady Tkachuk W Travis Konecny W Boone Jenner,,Jet Greaves,G,0.51%,0
97,5054704305,keithluck,0,96.4,C Nathan MacKinnon C Sean Couturier D Cale Makar D Tony DeAngelo G David Rittich UTIL Sean Monahan W Travis Konecny W Kent Johnson W Denver Barkey,,Adam Boqvist,D,0.51%,0
97,5054876939,walleyek,0,96.4,C Adam Fantilli C Dylan Cozens D Zach Werenski D Denton Mateychuk G James Reimer UTIL Anthony Duclair W Travis Konecny W Trevor Zegras W Owen Tippett,,Casey Cizikas,UTIL,0.51%,0
99,5054621939,bartmeister,0,96.299995,C Adam Fantilli C Christian Dvorak D Brent Burns D Ivan Provorov G MacKenzie Blackwood UTIL Artturi Lehkonen W Kirill Marchenko W Travis Konecny W Trevor Zegras,,Scott Wedgewood,G,0.34%,0
100,5054936463,BigMoe19,0,96.200005,C Mathew Barzal C Charlie Coyle D Zach Werenski D Tony DeAngelo G David Rittich UTIL Owen Tippett W Kirill Marchenko W Anthony Duclair W Michael Amadio,,Maxim Tsyplakov,W,0.34%,0
101,5054877246,Cicima6709,0,96.1,C Nathan MacKinnon C Christian Dvorak D Zach Werenski D Cam York G Dan Vladar UTIL Matvei Michkov W Victor Olofsson W Emil Heineman W Simon Holmstrom,,Michael Amadio,W,0.34%,2.6
102,5054905561,josephski,0,96,C Mathew Barzal C Adam Fantilli D Matthew Schaefer D Tony DeAngelo G David Rittich UTIL Sean Couturier W Kirill Marchenko W Owen Tippett W Anthony Duclair,,Linus Ullmark,G,0.17%,0
103,5054723780,silencer17,0,95.9,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Sam Malinski G Dan Vladar UTIL Adam Pelech W Travis Konecny W Victor Olofsson W Ridly Greig,,Sam Carrick,UTIL,0.17%,1.5
104,5054766480,ScottThunder,0,95.799995,C Nathan MacKinnon C Christian Dvorak D Thomas Chabot D Jamie Drysdale G Dan Vladar UTIL Brock Nelson W Travis Konecny W Victor Olofsson W Ridly Greig,,Samuel Ersson,G,0.17%,0
105,5054736482,lastcall027,0,95.600006,C Mathew Barzal C Adam Fantilli D Tony DeAngelo D Josh Manson G Elvis Merzlikins UTIL J.T. Miller W Kirill Marchenko W Anders Lee W Anthony Duclair,,Joel Kiviranta,W,0.17%,2.6
105,5054997563,SpeedRacer101,0,95.6,C Mathew Barzal C Dylan Cozens D Zach Werenski D Damon Severson G James Reimer UTIL Brady Tkachuk W Owen Tippett W Matvei Michkov W Ridly Greig,,Jonathan Quick,G,0.17%,0
107,5054903648,bekakyle,0,95.200005,C Tim Stuetzle C Adam Fantilli D Travis Sanheim D Rasmus Ristolainen G Elvis Merzlikins UTIL Kirill Marchenko W Brady Tkachuk W Mason Marchment W Claude Giroux,,Matt Rempe,W,0.17%,0
107,5055000345,Daddygotmilk,0,95.2,C Nathan MacKinnon C Christian Dvorak D Cam York D Josh Manson G MacKenzie Blackwood UTIL Anthony Duclair W Kirill Marchenko W Travis Konecny W Ridly Greig,,Taylor Makar,W,0.17%,0
109,5055035669,scorpionv,0,95.100006,C Nathan MacKinnon C Dylan Cozens D Tony DeAngelo D Travis Sanheim G David Rittich UTIL Ridly Greig W Brady Tkachuk W Anders Lee W Simon Holmstrom,,Brendan Gaunce,C,0.17%,0
110,5054902034,campberc,0,94.799995,C Nathan MacKinnon C Christian Dvorak D Brent Burns D Cam York G Dan Vladar UTIL Sean Monahan W Travis Konecny W Artturi Lehkonen W Trevor Zegras,,Tyler Kleven,D,0.17%,7.8
110,5055000981,milesdeep123,0,94.799995,C Adam Fantilli C Dylan Cozens D Zach Werenski D Jamie Drysdale G James Reimer UTIL Alexis Lafreniere W Travis Konecny W Drake Batherson W Mason Marchment,,Mikael Pyyhtia,UTIL,0.17%,0
112,5055015301,Hawkeye11111,0,94.7,C Tim Stuetzle C Vincent Trocheck D Jake Sanderson D Scott Morrow G James Reimer UTIL Denver Barkey W Brady Tkachuk W Travis Konecny W Owen Tippett,,Nikita Grebenkin,W,0.17%,1.3
