Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
85,5055704589,tulo02,0,109.799995,C Connor McDavid C Fraser Minten D Samuel Girard D Mason Lohrei G Ilya Sorokin UTIL Macklin Celebrini W Will Smith W Collin Graf W Jack Roslovic,,Hampus Lindholm,D,3.03%,6.9
85,5055824527,cw_hoover,0,109.799995,C Elias Pettersson C Matty Beniers D Darren Raddysh D Alexandre Carrier G Joel Hofer UTIL Linus Karlsson W Nikita Kucherov W Jared McCann W Jordan Eberle,,Anthony Duclair,W,2.86%,0
88,5055654822,MysticMac23,0,108.700005,C Sam Bennett C Elias Pettersson D Erik Karlsson D Uvis Balinskis G Daniil Tarasov UTIL Jake DeBrusk W Seth Jarvis W Matthew Tkachuk W Egor Chinakhov,,Nico Hischier,C,2.86%,23.3
89,5055735038,jcabral1,0,108.5,C Macklin Celebrini C Jordan Staal D Uvis Balinskis D Mason Lohrei G Ilya Sorokin UTIL Connor McDavid W Nikolaj Ehlers W Collin Graf W Egor Chinakhov,,Cole Caufield,W,2.86%,0
89,5055850588,bobho10,0,108.5,C Sidney Crosby C Connor Bedard D Cam Fowler D Erik Cernak G Filip Gustavsson UTIL Tage Thompson W Tyler Bertuzzi W Egor Chinakhov W Anthony Mantha,,Jake Oettinger,G,2.86%,3.9
89,5055863470,BigBlue781,0,108.5,C Macklin Celebrini C Pavel Zacha D Darren Raddysh D Simon Nemec G Ilya Sorokin UTIL Alexander Wennberg W Brandon Hagel W Ben Kindel W Dawson Mercer,,John Klingberg,D,2.86%,3
92,5055727557,jacoborsak23,0,108.3,C Ryan Hartman C Mikael Granlund D Jacob Trouba D Esa Lindell G Filip Gustavsson UTIL Matt Duchene W Kirill Kaprizov W Beckett Sennecke W Kasperi Kapanen,,Jason Zucker,W,2.86%,0
93,5055826510,JohnnyCanuck7777,0,108,C Dylan Strome C Elias Pettersson D Rasmus Andersson D Tom Willander G Ilya Sorokin UTIL Quinton Byfield W Mikko Rantanen W Matthew Tkachuk W Alexis Lafreniere,,Jared Spurgeon,D,2.86%,7.6
94,5055795433,nCurry58,0,107.9,C Roope Hintz C Matty Beniers D Miro Heiskanen D Dougie Hamilton G John Gibson UTIL Chris Kreider W Alex DeBrincat W Jared McCann W Jordan Eberle,,Travis Sanheim,D,2.86%,2.8
94,5055838704,Squeeba,0,107.9,C Tage Thompson C Mikael Granlund D Rasmus Dahlin D Pavel Mintyukov G Ilya Sorokin UTIL Ryan McLeod W Alex Tuch W Vladimir Tarasenko W Alex Killorn,,Rasmus Dahlin,D,2.86%,8
96,5055825142,dukester1970,0,107.600006,C Elias Pettersson C Alex Laferriere D Darren Raddysh D Mattias Samuelsson G Lukas Dostal UTIL Mikael Granlund W Will Smith W Jared McCann W Morgan Geekie,,Cale Makar,D,2.69%,4.5
96,5055875703,Rfootball85,0,107.6,C Mikael Granlund C Matty Beniers D Mattias Samuelsson D Justin Faulk G Nikita Tolopilo UTIL Mark Stone W David Pastrnak W Owen Tippett W Adam Gaudette,,Anthony Cirelli,C,2.69%,4.5
98,5055887710,alrichards4003,0,107.2,C Connor McDavid C Yanni Gourde D Oliver Ekman-Larsson D Erik Cernak G Joey Daccord UTIL Justin Brazeau W Nikita Kucherov W Kyle Connor W Pavol Regenda,,Jake DeBrusk,UTIL,2.69%,17
99,5055756097,appleseider53,0,107.100006,C Macklin Celebrini C Andrew Copp D Artyom Levshunov D Ben Chiarot G Jeremy Swayman UTIL Sidney Crosby W Matthew Tkachuk W Max Domi W Kasperi Kapanen,,Anthony Mantha,W,2.69%,26
99,5055866974,colorado_colin,0,107.100006,C Macklin Celebrini C Fraser Minten D Erik Karlsson D John Klingberg G Filip Gustavsson UTIL Justin Brazeau W Zach Hyman W Will Smith W Egor Chinakhov,,Emil Heineman,W,2.69%,2.8
101,5055907307,ElDanno,0,106.9,C Connor McDavid C Josh Samanski D Darnell Nurse D Tony DeAngelo G Jeremy Swayman UTIL Nico Hischier W Steven Stamkos W William Eklund W Ross Colton,,Evan Rodrigues,UTIL,2.69%,1.5
102,5055725876,foutah,0,106.6,C Connor McDavid C Evan Rodrigues D Evan Bouchard D Colton Parayko G Devin Cooley UTIL Noah Cates W Zach Hyman W Jimmy Snuggerud W Conor Garland,,Auston Matthews,C,2.69%,6
103,5055832575,Sporin,0,106.40001,C Mikael Granlund C Matty Beniers D Darren Raddysh D Mattias Samuelsson G Lukas Dostal UTIL Morgan Geekie W Will Smith W Beckett Sennecke W Jared McCann,,Noah Dobson,D,2.69%,21.6
104,5055738738,contagionptm,0,106.200005,C Tage Thompson C Fraser Minten D Simon Nemec D Jaccob Slavin G Lukas Dostal UTIL Arseny Gritsyuk W Kirill Kaprizov W David Pastrnak W Ondrej Palat,,Connor Hellebuyck,G,2.69%,12.6
104,5055847928,nineman,0,106.200005,C Leon Draisaitl C Jack Hughes D Quinn Hughes D Dougie Hamilton G Ilya Sorokin UTIL Ben Chiarot W Arseny Gritsyuk W Matt Savoie W Yakov Trenin,,Mats Zuccarello,W,2.53%,1.5
106,5055667998,thebeardedschulte,0,106,C Quinton Byfield C Danila Yurov D Quinn Hughes D Connor Murphy G Filip Gustavsson UTIL Jack McBain W Kirill Kaprizov W Zach Hyman W Corey Perry,,Brandon Bussi,G,2.53%,6.7
106,5055871107,Bondzai,0,106,C Leon Draisaitl C Michael McCarron D Evan Bouchard D Justin Barron G Brandon Bussi UTIL Cutter Gauthier W Cole Caufield W Jonathan Marchessault W Cole Smith,,Andrei Svechnikov,W,2.53%,31
108,5055736034,gors19,0,105.8,C Macklin Celebrini C Mikael Granlund D Dougie Hamilton D Brandt Clarke G Andrei Vasilevskiy UTIL Beckett Sennecke W Will Smith W Anthony Mantha W Ondrej Palat,,Colton Parayko,D,2.53%,9.9
